"stime","jday","time","etime","stemp","rad","stempo","atemp","rh"
0.5,129,1000,0,18.11,663,NA,11.62,53.27
1,129,1100,1,11.59,764,NA,13.13,46.31
2,129,1200,2,13.37,779,17.22,14.6,47.66
3,129,1300,3,14.62,850,19.02,16.43,46.64
4,129,1400,4,15.64,821,20.48,17.74,45.4
6,129,1550,5.5,16.07,632.5,21.14,18.685,45.755
8,129,1750,7.5,15.72,351.5,19.215,17.45,48.06
11.22,129,2000,10,12.95,29.3333333333333,14.3033333333333,13.1666666666667,58.6966666666667
20.22,129.875,550,16.5,10.064,0,10.562,9.31,70.26375
26.22,130,750,21.5,9.485,0,9.865,12.075,64.655
32.22,130,1214.28571428571,26.1428571428571,16.45,374.285714285714,19.7457142857143,19.0685714285714,52.3785714285714
44.22,130.545454545455,836.363636363636,35.4545454545455,11.9536363636364,2.36363636363636,12.0227272727273,9.56909090909091,88.0636363636364
50.22,131,750,45.5,13.2583333333333,200.166666666667,14.3016666666667,13.755,81.3266666666667
56.22,131,1214.28571428571,50.1428571428571,16.6657142857143,259.285714285714,18.0628571428571,18.86,71.7485714285714
68.22,131.545454545455,836.363636363636,59.4545454545455,10.2681818181818,4.27272727272727,9.35727272727273,7.51036363636364,72.2909090909091
74.22,132,750,69.5,8.31166666666667,432.833333333333,8.49166666666667,4.13333333333333,49.8916666666667
80.22,132,1214.28571428571,74.1428571428571,11.34,466.857142857143,12.1128571428571,7.15271428571429,38.3771428571429
93.22,132.583333333333,825,84.25,4.47666666666667,18.5833333333333,3.28666666666667,2.45308333333333,48.7816666666667
102.27,133,1055.55555555556,96.5555555555556,9.38666666666667,606.333333333333,11.0366666666667,8.29422222222222,32.1377777777778
116.22,133.461538461538,992.307692307692,107,5.64692307692308,37.1538461538462,5.33153846153846,3.82507692307692,56.7884615384615
144.22,134.407407407407,1029.62962962963,130.074074074074,7.48481481481481,118.555555555556,8.88074074074074,8.15633333333333,59.6711111111111
165,135.35,1115,153.55,7.238,26.05,7.5845,7.87265,97.724
188.22,136.304347826087,1060.86956521739,175.913043478261,8.26304347826087,56.7826086956522,8.82086956521739,8.21147826086957,101.086956521739
212.22,137.304347826087,1060.86956521739,199.913043478261,8.26739130434783,121.521739130435,9.06130434782609,9.7564347826087,79.2395652173913
236.22,138.304347826087,1060.86956521739,223.913043478261,8.99521739130435,146.782608695652,10.2639130434783,9.61730434782609,83.4530434782609
260.22,139.304347826087,1060.86956521739,247.913043478261,10.0034782608696,268.782608695652,10.9786956521739,9.19086956521739,84.9191304347826
