Foulum weather station precipitation;date;time;prec
6069;01-05-2014;0;0
6069;01-05-2014;1;0
6069;01-05-2014;2;0
6069;01-05-2014;3;0
6069;01-05-2014;4;0
6069;01-05-2014;5;0
6069;01-05-2014;6;0
6069;01-05-2014;7;0
6069;01-05-2014;8;0
6069;01-05-2014;9;0
6069;01-05-2014;10;0
6069;01-05-2014;11;0
6069;01-05-2014;12;0
6069;01-05-2014;13;0
6069;01-05-2014;14;0
6069;01-05-2014;15;0
6069;01-05-2014;16;0
6069;01-05-2014;17;0
6069;01-05-2014;18;0
6069;01-05-2014;19;0
6069;01-05-2014;20;0
6069;01-05-2014;21;0
6069;01-05-2014;22;0
6069;01-05-2014;23;0
6069;02-05-2014;0;0
6069;02-05-2014;1;0
6069;02-05-2014;2;0
6069;02-05-2014;3;0
6069;02-05-2014;4;0
6069;02-05-2014;5;0
6069;02-05-2014;6;0
6069;02-05-2014;7;0
6069;02-05-2014;8;0
6069;02-05-2014;9;0
6069;02-05-2014;10;0
6069;02-05-2014;11;0
6069;02-05-2014;12;0
6069;02-05-2014;13;0
6069;02-05-2014;14;0
6069;02-05-2014;15;0
6069;02-05-2014;16;0
6069;02-05-2014;17;0
6069;02-05-2014;18;0
6069;02-05-2014;19;0
6069;02-05-2014;20;0
6069;02-05-2014;21;0
6069;02-05-2014;22;0
6069;02-05-2014;23;0
